,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
220,-,Chennai,Hyundai,Grand i10,1.2 CRDi Asta,2017,Diesel,Manual,"37,001 kms",6.2 Lakh
221,-,Chennai,Toyota,Innova Crysta,2.8 GX AT BSIV,2016,Diesel,Automatic,"1,12,000 kms",16.75 Lakh
222,-,Chennai,Honda,Jazz,1.2 S AT i VTEC,2017,Petrol,Automatic,"41,000 kms",7 Lakh
223,-,Chennai,Maruti,Alto,LXi,2004,Petrol,Manual,"59,193 kms",1 Lakh
224,-,Chennai,Ford,Figo,Diesel Titanium,2011,Diesel,Manual,"47,000 kms",2.85 Lakh
225,-,Chennai,Hyundai,i10,Sportz AT,2011,Petrol,Automatic,"52,000 kms",3.35 Lakh
226,-,Chennai,Skoda,Rapid,1.6 MPI Style Plus,2016,Petrol,Manual,"64,000 kms",6.4 Lakh
227,-,Chennai,Honda,City,i VTEC CVT VX,2016,Petrol,Automatic,"47,000 kms",8.75 Lakh
228,-,Chennai,Hyundai,Grand i10,Sportz,2013,Petrol,Manual,"59,000 kms",3.9 Lakh
229,-,Chennai,Maruti,Celerio,VXI AT Optional,2015,Petrol,Automatic,"22,745 kms",4.1 Lakh
230,-,Chennai,Maruti,Celerio,VXI AT,2017,Petrol,Automatic,"11,000 kms",4.95 Lakh
231,-,Chennai,Volkswagen,Vento,1.5 TDI Highline,2015,Diesel,Manual,"54,001 kms",6.2 Lakh
232,-,Chennai,Maruti,Gypsy,W410 4X4,2008,Petrol,Manual,"10,000 kms",4.5 Lakh
233,-,Chennai,Chevrolet,Enjoy,Petrol LS 8 Seater,2013,Petrol,Manual,"38,000 kms",4 Lakh
234,-,Chennai,Hyundai,Santro Xing,GLS,2009,Petrol,Manual,"50,838 kms",1.9 Lakh
235,-,Chennai,Maruti,Alto,LXi,2008,Petrol,Manual,"73,953 kms",1.7 Lakh
236,-,Chennai,Datsun,GO,A Petrol,2018,Petrol,Manual,"42,000 kms",2.95 Lakh
237,-,Chennai,Mahindra,Scorpio,VLX 2WD BSIV,2013,Diesel,Manual,"45,000 kms",7.5 Lakh
238,-,Chennai,Toyota,Fortuner,4x2 Manual,2015,Diesel,Manual,"1,27,000 kms",18.25 Lakh
239,-,Chennai,Hyundai,i20 Active,1.2 S,2015,Petrol,Manual,"41,000 kms",6.3 Lakh
240,-,Chennai,Mercedes-Benz,M-Class,ML 250 CDI,2013,Diesel,Automatic,"1,29,900 kms",19 Lakh
